gene	OMIMG	Disease	OMIMP	Inheritance
ABHD15	619894			
ABHD16A	142620	Spastic paraplegia 86, autosomal recessive	619735	AR
ABHD17A	617942			
ABHD17B	617943			
ABHD17C	617944			
ABHD2	612196			
ABHD3	612197			
ABHD4	619728			
ABHD5	604780	Chanarin-Dorfman syndrome	275630	AR
ABHD6	616966			
ABI1	603050			
ABI2	606442			
ABI3	606363			
ABI3BP	606279			
ABL1	189980	Leukemia, Philadelphia chromosome-positive, resistant to imatinib; Congenital heart defects and skeletal malformations syndrome	608232; 617602	AD; Somatic mutation
ABL2	164690			
ABLIM1	602330			
ABLIM2	612544			
ABLIM3	611305			
ABO	110300	[Blood group, ABO system]	616093	
ABR	600365			
ABRA	609747			
ABRAXAS1	611143			
ABRAXAS2	611144			
ABT1	618750			
ABTB1	608308			
ACAA1	604054			
ACAA2	604770			
ACACA	200350	Acetyl-CoA carboxylase deficiency	613933	AR
ACACB	601557			
ACAD10	611181			
ACAD11	614288			
ACAD8	604773	Isobutyryl-CoA dehydrogenase deficiency	611283	AR
ACAD9	611103	Mitochondrial complex I deficiency, nuclear type 20	611126	AR
ACADL	609576			
ACADM	607008	Acyl-CoA dehydrogenase, medium chain, deficiency of	201450	AR
ACADS	606885	Acyl-CoA dehydrogenase, short-chain, deficiency of	201470	AR
ACADSB	600301	2-methylbutyrylglycinuria	610006	AR
ACADVL	609575	VLCAD deficiency	201475	AR
ACAN	155760	?Spondyloepiphyseal dysplasia, Kimberley type; Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans; Spondyloepimetaphyseal dysplasia, aggrecan type	608361; 165800; 612813	AR; AD
ACAP1	607763			
ACAP2	607766			
ACAT1	607809	Alpha-methylacetoacetic aciduria	203750	AR
ACAT2	100678	?ACAT2 deficiency	614055	Isolated cases
ACBD3	606809			
ACBD4	619968			
ACBD5	616618	Retinal dystrophy with leukodystrophy	618863	AR
ACBD6	616352			
ACCS	608405			
ACD	609377	?Dyskeratosis congenita, autosomal recessive 7; ?Dyskeratosis congenita, autosomal dominant 6	616553; 616553	AR, AD
ACE	106180	{Stroke, hemorrhagic}; Renal tubular dysgenesis; {Myocardial infarction, susceptibility to}; {Microvascular complications of diabetes 3}; [Angiotensin I-converting enzyme, benign serum increase]; {SARS, progression of}	614519; 267430; <NA>; 612624; <NA>; <NA>	AR
ACE2	300335			
ACER1	613491			
ACER2	613492			
ACER3	617036	?Leukodystrophy, progressive, early childhood-onset	617762	AR
ACHE	100740	[Blood group, Yt system]	112100	
ACIN1	604562			
ACKR1	613665	[Blood group, Duffy system]; [White blood cell count QTL]; {Malaria, vivax, protection against}	110700; 611862; 611162	AR; AR, AD
ACKR2	602648			
ACKR3	610376	?Oculomotor-abducens synkinesis	619215	AR
ACKR4	606065			
ACLY	108728			
ACMSD	608889			
ACO1	100880			
ACO2	100850	Optic atrophy 9; Infantile cerebellar-retinal degeneration	616289; 614559	AR; AR, AD
ACOD1	615275			
ACOT1	614313			
ACOT11	606803			
ACOT12	614315			
ACOT13	615652			
ACOT2	609972			
ACOT4	614314			
ACOT6	614267			
ACOT7	602587			
ACOT8	608123			
ACOT9	300862			
ACOX1	609751	Mitchell syndrome; Peroxisomal acyl-CoA oxidase deficiency	618960; 264470	AR; AD
ACOX2	601641	Bile acid synthesis defect, congenital, 6	617308	AR
ACOX3	603402			
ACP1	171500			
ACP2	171650	?Lysosomal acid phosphatase deficiency	200950	AR
ACP3	171790			
ACP4	606362	Amelogenesis imperfecta, type IJ	617297	AR
ACP5	171640	Spondyloenchondrodysplasia with immune dysregulation	607944	AR
ACP6	611471			
ACP7	610490			
ACR	102480	?Male infertility due to acrosin deficiency	102480	
ACRBP	608352			
ACRV1	102525			
ACSBG1	614362			
ACSBG2	614363			
ACSF2	610465			
ACSF3	614245	Combined malonic and methylmalonic aciduria	614265	
ACSL1	152425			
ACSL3	602371			
ACSL4	300157	Intellectual developmental disorder, X-linked 63	300387	XLD
ACSL5	605677			
ACSL6	604443	Myelodysplastic syndrome; Myelogenous leukemia, acute	<NA>; <NA>	
ACSM1	614357			
ACSM2A	614358			
ACSM2B	614359			
ACSM3	145505	{?Hypertension, essential}		
ACSM4	614360			
ACSM5	614361			
ACSS1	614355			
ACSS2	605832			
ACSS3	614356			
ACTA1	102610	?Myopathy, scapulohumeroperoneal; Nemaline myopathy 3, autosomal dominant or recessive; Myopathy, actin, congenital, with excess of thin myofilaments; Myopathy, actin, congenital, with cores; Myopathy, congenital, with fiber-type disproportion 1	616852; 161800; 161800; 161800; 255310	AD; AR, AD
ACTA2	102620	Multisystemic smooth muscle dysfunction syndrome; Aortic aneurysm, familial thoracic 6; Moyamoya disease 5	613834; 611788; 614042	AD
ACTB	102630	Baraitser-Winter syndrome 1; ?Dystonia, juvenile-onset	243310; 607371	AD
ACTBL2	614835			
ACTC1	102540	Left ventricular noncompaction 4; Cardiomyopathy, hypertrophic, 11; Atrial septal defect 5; Cardiomyopathy, dilated, 1R	613424; 612098; 612794; 613424	AD
ACTG1	102560	Deafness, autosomal dominant 20/26; Baraitser-Winter syndrome 2	604717; 614583	AD
ACTG2	102545	Megacystis-microcolon-intestinal hypoperistalsis syndrome 5; Visceral myopathy 1	619431; 155310	AD
ACTL6A	604958			
ACTL6B	612458	Developmental and epileptic encephalopathy 76; Intellectual developmental disorder with severe speech and ambulation defects	618468; 618470	AR; AD
ACTL7A	604303			
ACTL7B	604304			
ACTL9	619251	Spermatogenic failure 53	619258	AR
ACTMAP	620093			
ACTN1	102575	Bleeding disorder, platelet-type, 15	615193	AD
ACTN2	102573	Myopathy, distal, 6, adult onset; Cardiomyopathy, hypertrophic, 23, with or without LVNC; Cardiomyopathy, dilated, 1AA, with or without LVNC; Myopathy, congenital with structured cores and Z-line abnormalities	618655; 612158; 612158; 618654	AD
ACTN3	102574	[Sprinting performance]; [Alpha-actinin-3 deficiency]	617749; 617749	AR
ACTN4	604638	Glomerulosclerosis, focal segmental, 1	603278	AD
ACTR10	619731			
ACTR1A	605143			
ACTR1B	605144			
ACTR2	604221			
ACTR3	604222			
ACTR5	619730			
ACTR6	619729			
ACTR8	619716			
ACTRT1	300487			
ACTRT2	608535			
ACTRT3	608534			
ACVR1	102576	Fibrodysplasia ossificans progressiva	135100	AD
ACVR1B	601300	Pancreatic cancer, somatic		
ACVR1C	608981			
ACVR2A	102581			
ACVR2B	602730	Heterotaxy, visceral, 4, autosomal	613751	
ACVRL1	601284	Telangiectasia, hereditary hemorrhagic, type 2	600376	AD
ACY1	104620	Aminoacylase 1 deficiency	609924	AR
ACY3	614413			
ACYP1	600875			
ACYP2	102595			
ADA	608958	Adenosine deaminase deficiency, partial; Severe combined immunodeficiency due to ADA deficiency	102700; 102700	Somatic mosaicism, AR
ADA2	607575	Sneddon syndrome; Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome	182410; 615688	AR
ADAD1	614130			
ADAD2	619532			
ADAL	619346			
ADAM10	602192	{Alzheimer disease 18, susceptibility to}; Reticulate acropigmentation of Kitamura	615590; 615537	AD
ADAM11	155120			
ADAM12	602714			
ADAM15	605548			
ADAM17	603639	?Inflammatory skin and bowel disease, neonatal, 1	614328	AR
ADAM18	619495			
ADAM19	603640			
ADAM2	601533			
ADAM20	603712			
ADAM21	603713			
ADAM22	603709	Developmental and epileptic encephalopathy 61	617933	AR
ADAM23	603710			
ADAM28	606188			
ADAM29	604778			
ADAM30	604779			
ADAM32	618602			
ADAM33	607114			
ADAM7	607310			
ADAM8	602267			
ADAM9	602713	Cone-rod dystrophy 9	612775	AR
ADAMDEC1	606393			
ADAMTS1	605174			
ADAMTS10	608990	Weill-Marchesani syndrome 1, recessive	277600	AR
ADAMTS12	606184			
ADAMTS13	604134	Thrombotic thrombocytopenic purpura, hereditary	274150	AR
ADAMTS14	607506			
ADAMTS15	607509			
ADAMTS16	607510			
ADAMTS17	607511	Weill-Marchesani 4 syndrome, recessive	613195	AR
ADAMTS18	607512	Microcornea, myopic chorioretinal atrophy, and telecanthus	615458	AR
ADAMTS19	607513	Cardiac valvular dysplasia 2	620067	AR
ADAMTS2	604539	Ehlers-Danlos syndrome, dermatosparaxis type	225410	AR
ADAMTS20	611681			
ADAMTS3	605011	Hennekam lymphangiectasia-lymphedema syndrome 3	618154	AR
ADAMTS4	603876			
ADAMTS5	605007			
ADAMTS6	605008			
ADAMTS7	605009			
ADAMTS8	605175			
ADAMTS9	605421			
ADAMTSL1	609198			
ADAMTSL2	612277	Geleophysic dysplasia 1	231050	AR
ADAMTSL3	609199			
ADAMTSL4	610113	Ectopia lentis et pupillae; Ectopia lentis, isolated, autosomal recessive	225200; 225100	AR
ADAP1	608114			
ADAP2	608635			
ADAR	146920	Dyschromatosis symmetrica hereditaria; Aicardi-Goutieres syndrome 6	127400; 615010	AR; AD
ADARB1	601218	Neurodevelopmental disorder with hypotonia, microcephaly, and seizures	618862	AR
ADARB2	602065			
ADAT1	604230			
ADAT2	615388			
ADAT3	615302	Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies	615286	AR
ADCY1	103072	?Deafness, autosomal recessive 44	610154	AR
ADCY10	605205	{Hypercalciuria, absorptive, susceptibility to}	143870	AD
ADCY2	103071			
ADCY3	600291	{Obesity, susceptibility to, BMIQ19}	617885	AR
ADCY4	600292			
ADCY5	600293	Dyskinesia with orofacial involvement, autosomal dominant; Neurodevelopmental disorder with hyperkinetic movements and dyskinesia; Dyskinesia with orofacial involvement, autosomal recessive	606703; 619651; 619647	AR; AD
ADCY6	600294	Lethal congenital contracture syndrome 8	616287	AR
ADCY7	600385			
ADCY8	103070			
ADCY9	603302			
ADCYAP1	102980			
ADCYAP1R1	102981			
ADD1	102680	{Hypertension, essential, salt-sensitive}	145500	Multifactorial
ADD2	102681			
ADD3	601568	Cerebral palsy, spastic quadriplegic, 3	617008	AR
ADGB	614630			
ADGRA1	612302			
ADGRA2	606823			
ADGRA3	612303			
ADGRB1	602682			
ADGRB2	602683			
ADGRB3	602684			
ADGRD1	613639			
ADGRE1	600493			
ADGRE2	606100	Vibratory urticaria	125630	AD
ADGRE3	606101			
ADGRE4P	612305			
ADGRE5	601211			
ADGRF1	617430			
ADGRF4	614268			
ADGRG1	604110	Polymicrogyria, bilateral frontoparietal; Polymicrogyria, bilateral perisylvian	606854; 615752	AR
ADGRG2	300572	Congenital bilateral absence of vas deferens, X-linked	300985	X-linked
ADGRG3	618441			
ADGRG4	301085			
ADGRG5	616965			
ADGRG6	612243	Lethal congenital contracture syndrome 9	616503	AR
ADGRG7	612307			
ADGRL1	616416	Developmental delay, behavioral abnormalities, and neuropsychiatric disorders	620065	AD
ADGRL2	607018			
ADGRL3	616417			
ADGRL4	616419			
ADGRV1	602851	Usher syndrome, type 2C; Usher syndrome, type 2C, GPR98/PDZD7 digenic; ?Febrile seizures, familial, 4	605472; 605472; 604352	AD; Digenic dominant, AR
ADH1A	103700			
ADH1B	103720	{Aerodigestive tract cancer, squamous cell, alcohol-related, protection against}; {Alcohol dependence, protection against}	103780; 103780	Multifactorial
ADH1C	103730	{Alcohol dependence, protection against}; {Parkinson disease, susceptibility to}	103780; 168600	Multifactorial; Multifactorial, AD
ADH4	103740			
ADH5	103710	AMED syndrome, digenic	619151	Digenic recessive
ADH6	103735			
ADH7	600086			
ADHFE1	611083			
ADI1	613400			
ADIG	611396			
ADIPOQ	605441	Adiponectin deficiency	612556	
ADIPOR1	607945			
ADIPOR2	607946			
ADK	102750	Hypermethioninemia due to adenosine kinase deficiency	614300	AR
ADM	103275			
ADM2	608682			
ADNP	611386	Helsmoortel-van der Aa syndrome	615873	AD
ADNP2	617422			
ADO	611392			
ADORA1	102775			
ADORA2A	102776			
ADORA2B	600446			
ADORA3	600445			
ADPGK	611861			
ADPRH	603081			
ADPRHL1	610620			
ADPRS	610624	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	618170	AR
ADRA1A	104221			
ADRA1B	104220			
ADRA1D	104219			
ADRA2A	104210			
ADRA2B	104260			
ADRA2C	104250	{Congestive heart failure and beta-blocker response, modifier of}		
ADRB1	109630	[Short sleep, familial natural, 2]; [Resting heart rate]	618591; 607276	AD
ADRB2	109690	Beta-2-adrenoreceptor agonist, reduced response to; {Obesity, susceptibility to}; {Asthma, nocturnal, susceptibility to}	<NA>; 601665; 600807	AD; Multifactorial, AR, AD
ADRB3	109691	{Obesity, susceptibility to}	601665	Multifactorial, AR, AD
ADRM1	610650			
ADSL	608222	Adenylosuccinase deficiency	103050	AR
ADSS1	612498	Myopathy, distal, 5	617030	AR
ADSS2	103060			
ADTRP	614348			
AEBP1	602981	Ehlers-Danlos syndrome, classic-like, 2	618000	AR
AEBP2	617934			
AEN	610177			
AFAP1	608252			
AFAP1-AS1	619779			
AFAP1L1	614410			
AFAP1L2	612420			
AFDN	159559			
AFF1	159557			
AFF2	300806	Intellectual developmental disorder, X-linked 109	309548	XLR
AFF3	601464	KINSSHIP syndrome	619297	AD
AFF4	604417	CHOPS syndrome	616368	AD
AFG1L	617469			
AFG3L1P	603020			
AFG3L2	604581	Spastic ataxia 5, autosomal recessive; Optic atrophy 12; Spinocerebellar ataxia 28	614487; 618977; 610246	AR; AD
AFM	104145			
AFP	104150	[Hereditary persistence of alpha-fetoprotein]; Alpha-fetoprotein deficiency	615970; 615969	AR; AD
AFTPH	619628			
AGA	613228	Aspartylglucosaminuria	208400	AR
AGAP1	608651			
AGAP2	605476			
AGAP3	616813			
AGBL1	615496	Corneal dystrophy, Fuchs endothelial, 8	615523	AD
AGBL2	617345			
AGBL3	617346			
AGBL4	616476			
AGBL5	615900	Retinitis pigmentosa 75	617023	AR
AGER	600214			
AGFG1	600862			
AGFG2	604019			
AGGF1	608464			
AGK	610345	Cataract 38, autosomal recessive; Sengers syndrome	614691; 212350	AR
AGL	610860	Glycogen storage disease IIIa; Glycogen storage disease IIIb	232400; 232400	AR
AGMAT	617887			
AGMO	613738			
AGO1	606228			
AGO2	606229	Lessel-Kreienkamp syndrome	619149	AD
AGO3	607355			
AGO4	607356			
AGPAT1	603099			
AGPAT2	603100	Lipodystrophy, congenital generalized, type 1	608594	AR
AGPAT3	614794			
AGPAT4	614795			
AGPAT5	614796			
AGPS	603051	Rhizomelic chondrodysplasia punctata, type 3	600121	AR
AGR2	606358			
AGR3	609482			
AGRN	103320	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	615120	AR
AGRP	602311	{Leanness, inherited}; {Obesity, late-onset}	601665; 601665	Multifactorial, AR, AD
AGT	106150	Renal tubular dysgenesis; {Preeclampsia, susceptibility to}; {Hypertension, essential, susceptibility to}	267430; <NA>; 145500	Multifactorial; AR
AGTPBP1	606830	Neurodegeneration, childhood-onset, with cerebellar atrophy	618276	AR
AGTR1	106165	{Hypertension, essential}; Renal tubular dysgenesis	145500; 267430	Multifactorial; AR
AGTR2	300034			
AGTRAP	608729			
AGXT	604285	Hyperoxaluria, primary, type 1	259900	AR
AGXT2	612471	[Beta-aminoisobutyric acid, urinary excretion of]	210100	AR
AHCTF1	610853			
AHCY	180960	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	613752	AR
AHCYL1	607826			
AHCYL2	616520			
AHDC1	615790	Xia-Gibbs syndrome	615829	AD
AHI1	608894	Joubert syndrome 3	608629	AR
AHNAK	103390			
AHNAK2	608570			
AHR	600253	?Retinitis pigmentosa 85	618345	AR
AHRR	606517			
AHSA1	608466			
AHSG	138680	?Alopecia-intellectual disability syndrome 1	203650	AR
AHSP	605821			
AICDA	605257	Immunodeficiency with hyper-IgM, type 2	605258	AR
AIDA	612375			
AIF1	601833			
AIFM1	300169	Combined oxidative phosphorylation deficiency 6; Cowchock syndrome; Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy; Deafness, X-linked 5	300816; 310490; 300232; 300614	XLR
AIFM2	605159			
AIFM3	617298			
AIG1	608514			
AIM2	604578			
AIMP1	603605	Leukodystrophy, hypomyelinating, 3	260600	AR
AIMP2	600859	Leukodystrophy, hypomyelinating, 17	618006	AR
AIP	605555	Pituitary adenoma 1, multiple types; Pituitary adenoma predisposition	102200; 102200	Somatic mutation, AD
AIPL1	604392	Leber congenital amaurosis 4; Retinitis pigmentosa, juvenile; Cone-rod dystrophy	604393; 604393; 604393	AR, AD
AIRE	607358	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	240300	AR, AD
AIRN	604893			
AJAP1	610972			
AJUBA	609066			
AK1	103000	Hemolytic anemia due to adenylate kinase deficiency	612631	AR
AK2	103020	Reticular dysgenesis	267500	AR
AK3	609290			
AK4	103030			
AK5	608009			
AK6	619357			
AK7	615364	?Spermatogenic failure 27	617965	AR
AK8	615365			
AK9	615358			
AKAIN1	616427			
AKAP1	602449			
AKAP10	604694			
AKAP11	604696			
AKAP12	604698			
AKAP13	604686			
AKAP14	300462			
AKAP17A	465000			
AKAP17A	312095			
AKAP3	604689			
AKAP4	300185			
AKAP5	604688			
AKAP6	604691			
AKAP7	604693			
AKAP8	604692			
AKAP8L	609475			
AKAP9	604001	?Long QT syndrome 11	611820	AD
AKIP1	609191			
AKIRIN1	615164			
AKIRIN2	615165			
AKNA	605729			
AKR1A1	103830			
AKR1B1	103880			
AKR1B10	604707			
AKR1B15	616336			
AKR1C1	600449			
AKR1C2	600450	46XY sex reversal 8	614279	AR
AKR1C3	603966			
AKR1C4	600451	{46XY sex reversal 8, modifier of}	614279	AR
AKR1D1	604741	Bile acid synthesis defect, congenital, 2	235555	AR
AKR1E2	617451			
AKR7A2	603418			
AKR7A3	608477			
AKR7L	608478			
AKT1	164730	Breast cancer, somatic; Cowden syndrome 6; Colorectal cancer, somatic; Proteus syndrome, somatic; Ovarian cancer, somatic	114480; 615109; 114500; 176920; 167000	
AKT1S1	610221			
AKT2	164731	Diabetes mellitus, type II; Hypoinsulinemic hypoglycemia with hemihypertrophy	125853; 240900	AD
AKT3	611223	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	615937	AD
AKTIP	608483			
ALAD	125270	Porphyria, acute hepatic; {Lead poisoning, susceptibility to}	612740; 612740	AR
ALAS1	125290			
ALAS2	301300	Anemia, sideroblastic, 1; Protoporphyria, erythropoietic, X-linked	300751; 300752	XLR; X-linked
ALB	103600	?[Dysalbuminemic hypertriiodothyroninemia]; Analbuminemia; [Dysalbuminemic hyperthyroxinemia]	615999; 616000; 615999	AR; AR, AD
ALCAM	601662			
ALDH16A1	613358			
ALDH18A1	138250	Spastic paraplegia 9A, autosomal dominant; Cutis laxa, autosomal recessive, type IIIA; Spastic paraplegia 9B, autosomal recessive; Cutis laxa, autosomal dominant 3	601162; 219150; 616586; 616603	AR; AD
ALDH1A1	100640			
ALDH1A2	603687	Diaphragmatic hernia 4, with cardiovascular defects	620025	AR
ALDH1A3	600463	Microphthalmia, isolated 8	615113	AR
ALDH1B1	100670			
ALDH1L1	600249			
ALDH1L2	613584			
ALDH2	100650	{Esophageal cancer, alcohol-related, susceptibility to}; {Sublingual nitroglycerin, susceptibility to poor response to}; Alcohol sensitivity, acute; {Hangover, susceptibility to}	<NA>; <NA>; 610251; 610251	AD
ALDH3A1	100660			
ALDH3A2	609523	Sjogren-Larsson syndrome	270200	AR
ALDH3B1	600466			
ALDH3B2	601917			
ALDH4A1	606811	Hyperprolinemia, type II	239510	AR
ALDH5A1	610045	Succinic semialdehyde dehydrogenase deficiency	271980	AR
ALDH6A1	603178	Methylmalonate semialdehyde dehydrogenase deficiency	614105	AR
ALDH7A1	107323	Epilepsy, pyridoxine-dependent	266100	AR
ALDH8A1	606467			
ALDH9A1	602733			
ALDOA	103850	Glycogen storage disease XII	611881	AR
ALDOB	612724	Fructose intolerance, hereditary	229600	AR
ALDOC	103870			
ALG1	605907	Congenital disorder of glycosylation, type Ik	608540	AR
ALG10	618355			
ALG10B	603313	{Long QT syndrome, acquired, reduced susceptibility to}	613688	AD
ALG11	613666	Congenital disorder of glycosylation, type Ip	613661	AR
ALG12	607144	Congenital disorder of glycosylation, type Ig	607143	AR
ALG13	300776	Developmental and epileptic encephalopathy 36	300884	X-linked
ALG14	612866	Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies; Myopathy, epilepsy, and progressive cerebral atrophy; ?Myasthenic syndrome, congenital, 15, without tubular aggregates	619031; 619036; 616227	AR
ALG2	607905	Congenital disorder of glycosylation, type Ii; Myasthenic syndrome, congenital, 14, with tubular aggregates	607906; 616228	AR
ALG3	608750	Congenital disorder of glycosylation, type Id	601110	AR
ALG5	604565	Polycystic kidney disease 7	620056	AD
ALG6	604566	Congenital disorder of glycosylation, type Ic	603147	AR
ALG8	608103	Congenital disorder of glycosylation, type Ih; Polycystic liver disease 3 with or without kidney cysts	608104; 617874	AR; AD
ALG9	606941	Gillessen-Kaesbach-Nishimura syndrome; Congenital disorder of glycosylation, type Il	263210; 608776	AR
ALK	105590	{Neuroblastoma, susceptibility to, 3}	613014	
ALKAL1	619670			
ALKAL2	619671			
ALKBH1	605345			
ALKBH2	610602			
ALKBH3	610603			
ALKBH4	613302			
ALKBH5	613303			
ALKBH6	613304			
ALKBH7	613305			
ALKBH8	613306	Intellectual developmental disorder, autosomal recessive 71	618504	AR
ALMS1	606844	Alstrom syndrome	203800	AR
ALOX12	152391			
ALOX12B	603741	Ichthyosis, congenital, autosomal recessive 2	242100	AR
ALOX15	152392			
ALOX15B	603697			
ALOX5	152390	{Atherosclerosis, susceptibility to}; {Asthma, diminished response to antileukotriene treatment in}	<NA>; 600807	AD
ALOX5AP	603700	{Stroke, susceptibility to}	601367	Multifactorial
ALOXE3	607206	Ichthyosis, congenital, autosomal recessive 3	606545	AR
ALPG	171810			
ALPI	171740			
ALPK1	607347	ROSAH syndrome	614979	AD
ALPK2	619965			
ALPK3	617608	Cardiomyopathy, familial hypertrophic 27	618052	AR
ALPL	171760	Odontohypophosphatasia; Hypophosphatasia, infantile; Hypophosphatasia, childhood; Hypophosphatasia, adult	146300; 241500; 241510; 146300	AR; AR, AD
ALPP	171800			
ALS2	606352	Primary lateral sclerosis, juvenile; Spastic paralysis, infantile onset ascending; Amyotrophic lateral sclerosis 2, juvenile	606353; 607225; 205100	AR
ALS2CL	612402			
ALX1	601527	Frontonasal dysplasia 3	613456	AR
ALX3	606014	Frontonasal dysplasia 1	136760	AR
ALX4	605420	Parietal foramina 2; {Craniosynostosis 5, susceptibility to}; Frontonasal dysplasia 2	609597; 615529; 613451	AR; AD
ALYREF	604171			
AMACR	604489	Alpha-methylacyl-CoA racemase deficiency; Bile acid synthesis defect, congenital, 4	614307; 214950	AR
AMBN	601259	Amelogenesis imperfecta, type IF	616270	AR
AMBP	176870			
AMBRA1	611359			
AMD1	180980			
AMELX	300391	Amelogenesis imperfecta, type 1E	301200	XLD
AMELY	410000			
AMER1	300647	Osteopathia striata with cranial sclerosis	300373	XLD
AMER2	614659			
AMFR	603243			
AMH	600957	Persistent Mullerian duct syndrome, type I	261550	AR
AMHR2	600956	Persistent Mullerian duct syndrome, type II	261550	AR
AMIGO1	615689			
